,emotion,pixels
30430,3.0,[  0.   0.   0. ... 255. 222.  31.]
30431,6.0,[56. 62. 86. ... 19. 17. 28.]
30432,7.0,[241. 248. 254. ... 200. 211. 194.]
30433,6.0,[  0.  40. 110. ...  69. 106. 177.]
30434,4.0,[  1.   1.   1. ... 154.  43.  62.]
30435,7.0,[159. 170. 176. ... 151. 183. 206.]
30436,3.0,[ 50.  50.  50. ... 164. 164. 164.]
30437,1.0,[ 58.  58.  58. ... 110. 110. 110.]
30438,2.0,[244. 250. 250. ... 233. 141.  92.]
30439,4.0,[ 1.  1.  1. ... 63. 56. 63.]
30440,1.0,[187.  62.  78. ...  46.  47.  52.]
30441,4.0,[240. 228. 216. ... 208. 181. 154.]
30442,1.0,[101.  59.  35. ... 245. 244. 249.]
30443,5.0,[209. 215. 213. ... 190. 193. 184.]
30444,1.0,[194. 181. 149. ... 127. 112.  91.]
30445,3.0,[255. 255. 255. ... 149. 141. 128.]
30446,4.0,[ 67.  60.  67. ... 132. 128. 129.]
30447,1.0,[168. 160. 141. ... 195. 194. 192.]
30448,8.0,[226. 220. 206. ...  23.  29.  29.]
30449,3.0,[177. 154. 104. ...  62.  20.  21.]
30450,5.0,[ 73. 107. 109. ... 101. 121. 132.]
30451,1.0,[167. 167. 167. ... 180. 180. 180.]
30452,1.0,[ 29.   7.  10. ... 160. 128. 141.]
30453,1.0,[206. 202. 203. ...  51.  36.  39.]
30454,4.0,[11. 11. 11. ...  0.  0.  0.]
30455,7.0,[24. 27. 16. ... 73. 75. 74.]
30456,2.0,[ 42.  29.  21. ... 251.  81. 108.]
30457,8.0,[182. 186. 195. ...   9.  13.  24.]
30458,5.0,[14.  5.  0. ... 47. 35. 23.]
30459,8.0,[143. 148. 116. ... 148. 112.  54.]
30460,2.0,[0. 0. 0. ... 4. 4. 2.]
30461,5.0,[80. 80. 80. ... 11. 11. 11.]
30462,4.0,[ 92. 101.  98. ...  90.  89.  87.]
30463,6.0,[244. 239. 236. ... 142. 129. 120.]
30464,3.0,[  0.   0.   0. ... 240. 202.  33.]
30465,7.0,[169. 178. 173. ... 209.  59.  70.]
30466,1.0,[ 75.  52.  44. ... 167. 153. 150.]
30467,4.0,[ 26.  21.   2. ... 180. 161. 121.]
30468,5.0,[ 30.  49.  56. ... 109. 147. 160.]
30469,4.0,[ 13.  15.  12. ... 154. 115. 100.]
30470,1.0,[225. 215. 223. ... 128. 104.  80.]
30471,2.0,[228. 214. 237. ...  22.  14.  29.]
30472,6.0,[254. 254. 252. ... 255. 255. 255.]
30473,1.0,[201. 199. 202. ... 210. 210. 212.]
30474,1.0,[184. 170. 167. ... 193. 199. 213.]
30475,8.0,[227. 226. 208. ...  65.  66.  71.]
30476,7.0,[ 2.  2.  2. ... 13. 30. 37.]
30477,1.0,[176. 181. 184. ...  13.  17.  16.]
30478,6.0,[146. 144. 147. ... 250. 250. 250.]
30479,2.0,[241. 182. 140. ... 150.  78.  40.]
30480,5.0,[ 60. 111. 192. ...   0.  22.  72.]
30481,4.0,[ 83.  89.  43. ... 213. 147. 121.]
30482,6.0,[144. 111.  57. ...  19.  12.   2.]
30483,5.0,[195. 195. 185. ... 123. 113. 114.]
30484,2.0,[207. 178. 174. ... 187. 140. 112.]
30485,2.0,[ 24.  54.  64. ... 238. 243. 239.]
30486,7.0,[178. 168. 166. ...  38.  38.  38.]
30487,1.0,[28. 14. 29. ... 49. 47. 61.]
30488,5.0,[ 76.  49.  20. ... 169. 171. 166.]
30489,6.0,[246. 246. 246. ... 255. 255. 255.]
30490,4.0,[224. 215. 218. ... 166. 171. 174.]
30491,3.0,[166. 160. 146. ...   4.   3.  34.]
30492,1.0,[22. 22. 22. ...  2.  2.  2.]
30493,2.0,[255. 250. 224. ... 124. 121. 132.]
30494,8.0,[  0.   2.   6. ... 173. 158. 165.]
30495,2.0,[123. 146.  40. ... 212. 215. 134.]
30496,4.0,[21. 21. 21. ... 19. 17. 18.]
30497,1.0,[116. 116.  90. ...  50.  53.  70.]
30498,5.0,[113. 113. 113. ...  69.  69.  69.]
30499,3.0,[255. 255. 255. ... 198. 198. 198.]
30500,4.0,[121. 121. 119. ...  88.  88.  88.]
30501,6.0,[ 25.  23.  24. ... 204. 147. 130.]
30502,4.0,[156. 162. 162. ... 137.  49.  74.]
30503,2.0,[195. 209. 218. ...  25.  21.  20.]
30504,4.0,[133. 126. 107. ... 189. 167. 169.]
30505,7.0,[22.  2.  4. ... 15. 15. 15.]
30506,5.0,[192. 177.  24. ...  24. 218. 183.]
30507,6.0,[ 96. 108. 122. ...  47.  38.  29.]
30508,2.0,[250. 236. 233. ... 206. 171. 143.]
30509,4.0,[168. 133.  69. ... 215. 159.  82.]
30510,5.0,[ 53.  20.  13. ... 131. 135. 173.]
30511,4.0,[ 32.  33.  28. ... 188. 163. 141.]
30512,8.0,[248. 248. 246. ...  12.  14.  27.]
30513,3.0,[106.  91.  72. ... 168. 138. 110.]
30514,5.0,[82. 76. 62. ... 89. 46. 27.]
30515,1.0,[ 23.  24.  18. ... 247. 249. 248.]
30516,2.0,[125. 125. 125. ... 123. 123. 123.]
30517,6.0,[12. 12. 12. ... 63. 76. 95.]
30518,3.0,[ 10.  10.  10. ... 172. 176. 187.]
30519,4.0,[202. 172. 164. ...  54.  33.  42.]
30520,8.0,[205. 204. 212. ... 255. 241. 227.]
30521,1.0,[181. 162. 155. ... 189. 172. 162.]
30522,1.0,[157. 165. 144. ...  39.  28.  42.]
30523,2.0,[161. 128.  93. ... 119.  88.  59.]
30524,5.0,[255. 255. 255. ... 228. 185. 132.]
30525,7.0,[20. 23. 32. ...  0.  0.  0.]
30526,5.0,[35. 42. 35. ... 34. 46. 58.]
30527,5.0,[172. 174. 169. ...  51.  41.  42.]
30528,4.0,[173. 157. 123. ... 162. 146. 113.]
30529,6.0,[81. 51. 40. ... 33. 25. 23.]
30530,6.0,[ 22.  13.  16. ... 150. 107.  64.]
30531,4.0,[165. 119.  70. ... 238. 240. 239.]
30532,3.0,[11.  9. 10. ... 18. 14. 13.]
30533,7.0,[ 1.  1.  1. ... 29. 18. 32.]
30534,2.0,[ 45.  28.  20. ... 105.  85.  74.]
30535,5.0,[20.  4.  5. ... 12.  6. 10.]
30536,7.0,[137. 150. 124. ...  16.  27.  57.]
30537,3.0,[94. 76. 64. ... 23. 24. 26.]
30538,2.0,[159. 154. 177. ... 253. 255. 254.]
30539,8.0,[118.  87. 128. ... 127.  97. 149.]
30540,3.0,[221. 204. 214. ... 177.  86. 104.]
30541,3.0,[126.  82.  55. ... 229. 212. 196.]
30542,1.0,[99. 32. 24. ... 14.  9. 13.]
30543,4.0,[164. 164. 164. ...  33.  35.  32.]
30544,4.0,[55. 27. 15. ... 69. 34. 14.]
30545,8.0,[163. 159. 158. ... 252. 252. 252.]
30546,3.0,[ 8. 15. 21. ... 45. 49. 60.]
30547,4.0,[109.  72.  64. ...  47.  52.  48.]
30548,5.0,[145.  97.  87. ...  49.  15.   6.]
30549,6.0,[ 28.  79. 124. ...  27.  29.  68.]
30550,8.0,[125. 115. 105. ...   7.   6.   4.]
30551,1.0,[243. 244. 248. ... 233. 234. 238.]
30552,7.0,[ 85.  79.  55. ... 156. 148. 129.]
30553,8.0,[ 48.  58.  85. ... 166. 180. 209.]
30554,6.0,[ 34.  78. 153. ...  24.  29.  22.]
30555,1.0,[184. 184. 184. ...  95.  95.  95.]
30556,3.0,[205. 222. 212. ...  48.  80.  95.]
30557,3.0,[132. 117.  94. ... 171. 143. 132.]
30558,1.0,[255. 220.  74. ... 248. 212.  98.]
30559,1.0,[0. 0. 0. ... 0. 0. 0.]
30560,2.0,[242. 246. 247. ... 224. 234. 223.]
30561,6.0,[ 56.  75. 107. ...  25.  27.  40.]
30562,3.0,[91. 66. 44. ... 16. 16. 14.]
30563,5.0,[104.  82.  84. ...  29.   0.   3.]
30564,7.0,[ 8. 16. 62. ... 12. 18. 92.]
30565,4.0,[18. 13. 10. ... 75. 74. 70.]
30566,3.0,[220. 219. 215. ... 229. 225. 213.]
30567,3.0,[ 17.  96.  90. ... 130. 181. 182.]
30568,3.0,[250. 244. 222. ... 252. 247. 253.]
30569,5.0,[222. 157. 119. ...  10.   8.   9.]
30570,5.0,[ 49.  62.  71. ...  80. 130. 155.]
30571,6.0,[160. 157. 150. ...  66.  71.  90.]
30572,1.0,[ 88.  89.  84. ... 148. 101.  85.]
30573,7.0,[251. 252. 247. ... 244. 244. 244.]
30574,7.0,[243. 243. 245. ... 150. 135. 114.]
30575,1.0,[173. 174. 166. ... 174. 115.  49.]
30576,7.0,[255. 252. 253. ...  99. 102. 109.]
30577,8.0,[169. 170. 172. ...  23.  18.  22.]
30578,4.0,[39. 39. 51. ... 51. 49. 60.]
30579,3.0,[157. 157. 147. ...  30.  54.  92.]
30580,2.0,[243. 218. 188. ... 244.  74. 101.]
30581,1.0,[  1.   1.  11. ...  61.  90. 216.]
30582,3.0,[195. 195. 195. ... 140.  38.  59.]
30583,8.0,[116. 106.  96. ...  12.   8.   7.]
30584,3.0,[ 16.  35.  94. ... 141.  87.  75.]
30585,4.0,[65. 43.  6. ... 25. 25. 37.]
30586,8.0,[ 15.  15.  15. ... 242. 242. 242.]
30587,5.0,[ 0.  0.  0. ... 69. 42. 35.]
30588,5.0,[69. 22.  4. ... 89. 24.  2.]
30589,4.0,[115.  62.  58. ...  57.  16.  48.]
30590,8.0,[104. 124. 148. ... 100. 119. 133.]
30591,4.0,[ 38.  19.  21. ... 231. 189. 164.]
30592,8.0,[175. 130.  99. ... 135.  91.  64.]
30593,3.0,[26. 26. 26. ... 24. 24. 24.]
30594,7.0,[ 12.  87.  92. ... 115. 170. 165.]
30595,7.0,[253.  32.   3. ...  12.   7.   3.]
30596,1.0,[255. 255. 255. ...  13.   2.   0.]
30597,7.0,[239. 251. 237. ...   5.   5.   7.]
30598,3.0,[17. 29. 55. ...  8.  9. 14.]
30599,4.0,[36. 30. 32. ... 21. 20. 18.]
30600,1.0,[184. 189. 192. ...  96. 201. 231.]
30601,4.0,[118.  98.  87. ...  14.  12.  25.]
30602,4.0,[122. 138. 137. ... 235. 248. 254.]
30603,6.0,[  0.   1.  25. ... 250. 250. 248.]
30604,5.0,[167. 169. 168. ...  37.  41.  50.]
30605,1.0,[ 79.  63.  64. ... 137. 102.  83.]
30606,1.0,[199. 198. 168. ... 159. 163. 149.]
30607,5.0,[141. 126.  69. ...  15.  15.  17.]
30608,8.0,[112. 112. 112. ...  11.  11.  11.]
30609,4.0,[184. 197. 190. ...  70.  65.  59.]
30610,2.0,[105.  90.  71. ... 227. 233. 231.]
30611,7.0,[143. 168. 248. ... 160. 125. 103.]
30612,7.0,[ 24.  23.  18. ... 107.  95.  81.]
30613,2.0,[ 12.  63.   7. ... 241. 221. 230.]
30614,5.0,[127. 127. 127. ... 198. 200. 197.]
30615,7.0,[40. 51. 71. ... 35. 99. 98.]
30616,3.0,[215. 212. 207. ...  46.  46.  58.]
30617,8.0,[239. 236. 219. ...  90.  87.  70.]
30618,3.0,[199. 198. 194. ... 217. 216. 212.]
30619,2.0,[129. 131. 118. ... 136. 122.  77.]
30620,8.0,[154. 179. 184. ... 212. 197. 202.]
30621,6.0,[12.  2.  1. ... 18. 13. 10.]
30622,4.0,[120. 102.  54. ... 243. 232. 176.]
30623,8.0,[125. 141. 156. ...  44.  32.  36.]
30624,3.0,[242.  24.  38. ... 192. 171. 166.]
30625,1.0,[ 80.  77.  70. ... 255. 255. 255.]
30626,1.0,[220. 219. 225. ... 220. 215. 221.]
30627,5.0,[ 11.   6.   2. ... 141. 125.  99.]
30628,2.0,[ 20.  16.  13. ... 162. 142. 131.]
30629,8.0,[188. 188. 188. ...  23.  23.  23.]
30630,1.0,[65. 52. 36. ... 36. 36. 28.]
30631,1.0,[115. 111. 112. ...   8.  10.   7.]
30632,8.0,[255. 251. 248. ...  66.  87. 130.]
30633,5.0,[255. 255. 255. ... 255. 255. 255.]
30634,5.0,[226. 212. 185. ... 197. 174. 142.]
30635,4.0,[0. 0. 0. ... 0. 0. 0.]
30636,2.0,[204. 220. 209. ... 131. 112.  95.]
30637,4.0,[69. 75. 75. ... 55. 51. 50.]
30638,8.0,[148.  89.  45. ... 124.  63.  35.]
30639,4.0,[  0.   0.   0. ... 231. 231. 231.]
30640,6.0,[107.  75.  26. ...  18.  17.  22.]
30641,5.0,[146. 108.  99. ...  70.   8.  23.]
30642,4.0,[ 17.  21.  24. ... 221. 184. 165.]
30643,1.0,[ 42.  22.  15. ... 188. 163. 166.]
30644,4.0,[147. 134. 118. ... 159.  90.  61.]
30645,2.0,[124. 102.  65. ...  40.   0.  13.]
30646,5.0,[208. 209. 204. ... 201. 200. 196.]
30647,2.0,[155. 198. 230. ...  70.  83.  89.]
30648,4.0,[ 54.  51.  42. ... 113. 100.  56.]
30649,2.0,[240. 240. 242. ... 247. 247. 249.]
30650,1.0,[19.  5.  2. ... 52. 30. 19.]
30651,6.0,[215. 215. 215. ... 210. 210. 210.]
30652,8.0,[116. 144. 119. ...  14.   7.   1.]
30653,4.0,[255. 249. 251. ... 219. 216. 199.]
30654,8.0,[238. 224.  73. ...  43.  25.   5.]
30655,5.0,[217. 217. 217. ... 212. 192. 193.]
30656,5.0,[55. 53. 54. ... 37. 37. 37.]
30657,2.0,[107. 125. 125. ... 165. 134. 129.]
30658,6.0,[178. 175. 168. ... 196. 206. 216.]
30659,5.0,[31. 29. 17. ...  0.  0.  0.]
30660,3.0,[239. 187. 114. ... 253. 253. 253.]
30661,4.0,[205.  32.  38. ...  78.  68. 129.]
30662,8.0,[220. 209. 187. ...  75.  72.  57.]
30663,2.0,[249. 245. 244. ... 242. 238. 235.]
30664,5.0,[27. 17. 16. ... 28. 26. 29.]
30665,4.0,[191. 212. 156. ...  42.  50.  52.]
30666,7.0,[220. 220. 220. ... 221. 221. 221.]
30667,1.0,[255. 255. 255. ... 172. 208. 206.]
30668,5.0,[115.  76.  95. ... 152.  29.  58.]
30669,4.0,[27. 38. 30. ... 57. 55. 42.]
30670,6.0,[241. 223. 219. ... 170.  78.  91.]
30671,3.0,[207. 181. 154. ... 233. 236. 189.]
30672,1.0,[104. 135. 129. ...  64.  73.  68.]
30673,3.0,[78. 87. 86. ... 90. 79. 77.]
30674,2.0,[39. 25. 25. ... 97. 60. 42.]
30675,8.0,[252. 253. 255. ... 123. 105. 131.]
30676,6.0,[100. 124. 126. ...  56.  90. 100.]
30677,3.0,[206. 206. 206. ... 151. 151. 151.]
30678,3.0,[208. 192. 159. ... 225. 209. 176.]
30679,3.0,[ 30.   6.   0. ... 175. 194. 172.]
30680,7.0,[150. 144. 146. ...  93.  92.  90.]
30681,8.0,[  9.   9.   7. ... 108.  98.  97.]
30682,7.0,[39. 38. 34. ...  7.  4.  0.]
30683,8.0,[ 19.  19.  19. ... 122. 116. 116.]
30684,3.0,[101.  87.  84. ...  44.  34.  25.]
30685,8.0,[ 71.  71.  79. ... 162. 145. 138.]
30686,8.0,[ 67.  53.  50. ... 255. 255. 255.]
30687,2.0,[201. 197. 186. ... 101.  63.  40.]
30688,2.0,[ 51.  42.  33. ... 140.  87.  56.]
30689,2.0,[110.  82.  68. ... 189. 163. 150.]
30690,5.0,[189. 189. 189. ... 100.  79.  96.]
30691,6.0,[  1.   1.   1. ... 184. 193. 174.]
30692,2.0,[224. 228. 240. ... 211. 160.  95.]
30693,5.0,[2. 4. 1. ... 3. 5. 2.]
30694,6.0,[255. 255. 255. ...  21.  21.  21.]
30695,2.0,[33. 38. 32. ... 40. 36. 37.]
30696,4.0,[255. 255. 255. ... 255. 226. 220.]
30697,2.0,[ 71.  59.  47. ... 168. 165. 158.]
30698,5.0,[ 0.  5.  7. ... 95. 76. 44.]
30699,5.0,[152. 150. 135. ... 151. 116.  94.]
30700,7.0,[2. 2. 2. ... 9. 9. 9.]
30701,1.0,[ 88.  98. 107. ... 145. 151. 151.]
30702,5.0,[ 24.  48.  34. ... 108.  75.  66.]
30703,8.0,[ 48.  94. 117. ... 171. 170. 186.]
30704,6.0,[203. 203. 203. ... 162. 162. 162.]
30705,4.0,[189. 222. 237. ...   0.  88. 114.]
30706,4.0,[246. 254. 255. ... 241. 238. 221.]
30707,6.0,[17.  1.  1. ... 61. 23. 12.]
30708,3.0,[ 77. 110. 203. ...  89. 123. 212.]
30709,2.0,[199. 192. 146. ... 110. 131. 134.]
30710,2.0,[88. 87. 85. ... 34. 40. 54.]
30711,6.0,[247. 247. 247. ... 247. 248. 250.]
30712,1.0,[ 9.  9.  9. ... 10. 10.  8.]
30713,8.0,[137. 155. 205. ...  80.  94. 141.]
30714,8.0,[ 34.  33.  47. ... 254. 141. 147.]
30715,3.0,[ 0.  0.  0. ... 66. 40.  3.]
30716,4.0,[38. 42. 71. ... 13.  3.  2.]
30717,7.0,[255. 255. 255. ... 220. 220. 220.]
30718,4.0,[43. 43. 43. ... 52. 52. 52.]
30719,4.0,[100.  29.   1. ...  43.  10.   1.]
30720,8.0,[ 59.  47.  35. ... 160. 119.  57.]
30721,2.0,[ 1.  9. 12. ...  5.  8. 17.]
30722,1.0,[92. 93. 87. ... 52. 52. 50.]
30723,6.0,[  8.   0.   0. ... 120.  25.  33.]
30724,1.0,[104.  71.  20. ...  84.  62.  12.]
30725,5.0,[250. 254. 255. ... 255. 255. 255.]
30726,4.0,[135. 135. 125. ...  63.  78. 111.]
30727,2.0,[ 21.  23.  20. ...   4.  30. 104.]
30728,3.0,[141.  79.  42. ...  74.  45.  31.]
30729,1.0,[108. 120. 120. ...  11.  29.  41.]
30730,7.0,[ 3.  3.  1. ... 11. 30.  2.]
30731,4.0,[244. 193. 162. ...  35.  26.  21.]
30732,2.0,[ 95.  80.  77. ... 217. 189. 186.]
30733,7.0,[175. 109.  74. ... 248. 244. 243.]
30734,4.0,[116.  89.  60. ... 209. 142. 115.]
30735,8.0,[96. 82. 82. ... 96. 93. 78.]
30736,7.0,[90. 90. 78. ... 84. 85. 79.]
30737,8.0,[128. 112. 112. ... 251. 244. 228.]
30738,7.0,[251. 251. 251. ...   5.  79.   4.]
30739,7.0,[209. 188. 141. ...  20.  23.  32.]
30740,6.0,[ 25.   1. 199. ...  35.  20. 235.]
30741,8.0,[ 98.  76.  65. ... 171. 137. 109.]
30742,1.0,[255. 188.  52. ...  33.  13.  14.]
30743,6.0,[ 66.  70.  56. ... 169. 151. 131.]
30744,7.0,[ 67.  49.  47. ... 195. 144. 141.]
30745,4.0,[141. 131. 106. ... 179. 181. 180.]
30746,7.0,[153. 153. 127. ... 158. 162. 148.]
30747,2.0,[221. 201. 168. ...  94.  81.  65.]
30748,8.0,[  7.   7.   5. ... 208. 180.  96.]
30749,5.0,[255. 224.  71. ... 242. 203.   1.]
30750,4.0,[230. 131. 214. ... 175.  98.  72.]
30751,3.0,[213. 214. 218. ... 153. 156. 161.]
30752,7.0,[247. 248. 243. ...  49.  44.  40.]
30753,7.0,[144. 167. 175. ... 183. 149. 174.]
30754,7.0,[240. 242. 205. ... 226. 193.  98.]
30755,2.0,[231. 231. 231. ... 107. 100.  72.]
30756,1.0,[89. 21.  8. ... 30. 14. 15.]
30757,5.0,[ 44.  42.  45. ... 255. 255. 255.]
30758,3.0,[ 32.  16.  19. ... 234. 225. 194.]
30759,5.0,[143. 147. 159. ... 176. 176. 164.]
30760,1.0,[149.  95.  71. ... 217. 187. 179.]
30761,1.0,[ 91.  97. 111. ...  90.  87.  98.]
30762,4.0,[193. 194. 198. ...   3.   3.   5.]
30763,4.0,[106. 116.  92. ...  59.  41.  27.]
30764,2.0,[ 91. 109. 171. ...  89.  58.  56.]
30765,3.0,[ 78. 137. 169. ... 114.  50.  50.]
30766,4.0,[60. 34. 21. ... 25. 23. 34.]
30767,5.0,[254. 253. 248. ... 248. 239. 234.]
30768,6.0,[24.  9.  6. ... 73. 66. 38.]
30769,4.0,[ 86.  83. 100. ... 228.  50.  82.]
30770,7.0,[0. 0. 0. ... 0. 0. 2.]
30771,4.0,[5. 4. 9. ... 3. 4. 0.]
30772,6.0,[255. 255. 255. ... 252. 252. 252.]
30773,6.0,[54. 47. 39. ... 83. 45. 32.]
30774,4.0,[ 95.  80.  73. ... 177. 187. 179.]
30775,3.0,[23. 23. 21. ... 38. 37. 35.]
30776,8.0,[118. 118. 118. ... 123. 123. 123.]
30777,6.0,[255. 255. 255. ... 255. 255. 255.]
30778,8.0,[233. 217. 191. ... 225. 210. 181.]
30779,2.0,[255. 255. 253. ... 231. 198.  95.]
30780,3.0,[111.  69.  73. ...  42.  56.  57.]
30781,6.0,[80. 68. 54. ... 53. 53. 45.]
30782,7.0,[58. 59. 53. ... 84. 80. 69.]
30783,2.0,[118.   9.   4. ... 211. 207. 204.]
30784,3.0,[39. 32. 13. ... 10. 11. 16.]
30785,8.0,[75. 80. 50. ... 59. 45. 45.]
30786,6.0,[52. 48. 37. ...  1.  1.  1.]
30787,3.0,[13. 13.  5. ...  2.  2.  2.]
30788,1.0,[215. 173. 151. ... 219. 218. 216.]
30789,6.0,[157.  29.   0. ...   2.   2.   0.]
30790,5.0,[21. 10. 14. ... 30. 30. 40.]
30791,3.0,[161. 125.  89. ... 107.  89.  77.]
30792,2.0,[ 93.  30. 171. ...  30.   0.   0.]
30793,6.0,[241. 237. 166. ... 180. 148.  99.]
30794,3.0,[172. 159. 142. ...  27.  38.  30.]
30795,5.0,[ 98.  98.  98. ... 112. 112. 112.]
30796,7.0,[0. 1. 0. ... 5. 3. 4.]
30797,4.0,[ 76.  32.  21. ... 147. 141. 143.]
30798,5.0,[255. 198. 169. ...  36.  36.  38.]
30799,2.0,[248. 248. 214. ...  31.  32.  36.]
30800,4.0,[242. 242. 242. ... 237. 241. 244.]
30801,5.0,[96. 83. 39. ... 95. 85. 75.]
30802,5.0,[10.  8.  9. ...  4.  1. 28.]
30803,6.0,[49. 49. 49. ... 68. 67. 73.]
30804,5.0,[126. 130. 107. ... 136. 105.  74.]
30805,2.0,[255. 250. 226. ...  89.  44.   3.]
30806,8.0,[103. 163. 111. ... 232. 168. 133.]
30807,4.0,[255. 255. 255. ... 255. 255. 255.]
30808,3.0,[130. 118. 102. ...   9.   7.  12.]
30809,8.0,[ 17.   8.   9. ... 202. 120. 108.]
30810,5.0,[ 3.  3.  3. ... 12.  9.  4.]
30811,8.0,[101.  61.  26. ...  19.   9.   8.]
30812,1.0,[229. 182. 138. ... 211. 153. 105.]
30813,5.0,[241. 241. 241. ... 228. 228. 228.]
30814,1.0,[11.  2.  3. ... 26. 25. 39.]
30815,3.0,[113. 113. 113. ... 194. 198. 199.]
30816,5.0,[ 50.  52.  49. ... 192. 196. 197.]
30817,3.0,[187. 194. 187. ...  15.   3.   3.]
30818,4.0,[143. 120.  78. ... 220. 218. 219.]
30819,1.0,[118.  95.  87. ...  36.  59.  30.]
30820,6.0,[26. 17. 18. ... 79. 63. 64.]
30821,8.0,[118.  91.  74. ...  81.  54.  47.]
30822,7.0,[82. 26. 13. ... 65. 35. 33.]
30823,4.0,[177. 177. 177. ... 217. 212. 192.]
30824,5.0,[239. 217. 194. ...  87.  68.  53.]
30825,7.0,[255. 255. 255. ...  40.  50. 101.]
30826,4.0,[19. 19. 19. ... 52. 40. 28.]
30827,4.0,[196. 181. 174. ... 221. 181. 179.]
30828,1.0,[238. 238. 238. ... 188. 189. 184.]
30829,3.0,[163. 158. 164. ...  97.  95. 106.]
30830,6.0,[142. 142. 140. ...  67.  62.  66.]
30831,7.0,[254. 254. 254. ...  99.  81.  69.]
30832,2.0,[159. 160. 142. ...  37.  40.  49.]
30833,8.0,[255. 250. 254. ...  52.  60.  79.]
30834,7.0,[ 68.  49.  32. ... 105. 106. 101.]
30835,4.0,[255. 255. 255. ... 255.  77.  63.]
30836,4.0,[114. 114. 126. ... 114.  67.  39.]
30837,3.0,[ 96. 132. 130. ... 184. 162. 125.]
30838,3.0,[ 1.  1.  1. ... 23. 32. 31.]
30839,2.0,[95. 97. 73. ... 88. 78. 68.]
30840,5.0,[225. 226. 230. ...  39.  32.  22.]
30841,8.0,[228. 228. 228. ... 222. 217. 211.]
30842,8.0,[206. 160. 173. ...  25.   2.   0.]
30843,8.0,[ 60.  60.  60. ... 124. 124. 124.]
30844,8.0,[ 13.   3.   1. ... 211. 170. 124.]
30845,6.0,[255. 255. 255. ...  75.  66.  49.]
30846,2.0,[193. 122. 116. ... 191. 141. 114.]
30847,1.0,[3. 3. 3. ... 7. 7. 7.]
30848,6.0,[167. 200. 219. ... 161.  77. 175.]
30849,4.0,[ 73.  57.  60. ... 224. 212. 214.]
30850,5.0,[127.  88.  49. ... 200. 182. 168.]
30851,5.0,[ 61.  52.  37. ... 121. 126. 146.]
30852,1.0,[ 18. 118. 134. ... 228. 236. 238.]
30853,4.0,[229. 210. 177. ... 113.  67.  52.]
30854,5.0,[186. 187. 171. ... 125. 115. 105.]
30855,1.0,[ 56.  44.  30. ... 132. 129. 110.]
30856,2.0,[  0. 102. 130. ...   0. 121. 176.]
30857,6.0,[49. 27. 16. ...  0.  0.  0.]
30858,1.0,[254. 254. 254. ...   0.   0.   0.]
30859,3.0,[122. 113.  98. ...  24.  25.  45.]
30860,5.0,[ 92.  50.  34. ... 255. 232. 218.]
30861,2.0,[236. 244. 247. ... 255. 251. 255.]
30862,1.0,[ 16. 104. 116. ...  13.  18.  22.]
30863,4.0,[243. 244. 238. ... 246. 236. 235.]
30864,7.0,[  0.  24.   0. ... 239. 245.   0.]
30865,1.0,[226. 143.  77. ... 200. 202. 191.]
30866,7.0,[ 92. 115.  43. ... 109.  63.  47.]
30867,5.0,[ 14.  54.  53. ... 230. 250. 248.]
30868,7.0,[140. 140. 140. ...  81.  81.  81.]
30869,2.0,[216. 216. 216. ... 227. 228. 232.]
30870,5.0,[ 24.  31.  39. ... 241. 239. 242.]
30871,4.0,[171. 146. 142. ...  88.  74.  71.]
30872,2.0,[212. 197. 168. ... 129. 142. 161.]
30873,5.0,[133. 188. 245. ...  54.  40.  27.]
30874,7.0,[143. 134. 101. ... 241. 217. 147.]
30875,3.0,[249. 249. 249. ... 255. 255. 255.]
30876,4.0,[ 18.   9.   4. ... 180. 176. 177.]
30877,3.0,[ 73. 164. 167. ...  39.  46.  30.]
30878,3.0,[ 6. 11. 15. ...  7. 12. 16.]
30879,8.0,[0. 0. 0. ... 2. 2. 2.]
30880,2.0,[ 83.  68.  71. ... 134. 124. 115.]
30881,8.0,[193. 221. 225. ...  20.  37.  67.]
30882,3.0,[ 0.  2.  1. ...  5. 61. 98.]
30883,5.0,[29. 11.  7. ...  1.  7.  7.]
30884,7.0,[255. 255. 253. ...   2.   6.   5.]
30885,4.0,[144. 106.  83. ... 237. 179. 204.]
30886,5.0,[189. 182. 164. ... 107.  97.  87.]
30887,3.0,[ 1.  1.  3. ... 40. 31. 26.]
30888,4.0,[  0.   0.   0. ... 106.  79.  72.]
30889,2.0,[35. 12.  6. ... 18. 12. 12.]
30890,1.0,[168. 201. 190. ... 173. 207. 206.]
30891,6.0,[ 49.  38.  36. ... 108. 143. 201.]
30892,3.0,[172. 162. 161. ...  69. 112. 144.]
30893,5.0,[243. 243. 243. ... 190. 190. 190.]
30894,3.0,[ 82.  68.  93. ... 212. 140.  58.]
30895,4.0,[77. 70. 44. ... 93. 50. 60.]
30896,5.0,[ 1.  1.  1. ... 22. 30. 51.]
30897,7.0,[255. 248. 255. ... 166. 150. 137.]
30898,8.0,[61. 68. 27. ... 62. 60. 47.]
30899,1.0,[ 98.  97. 102. ... 171.  34.  26.]
30900,2.0,[253. 253. 253. ... 142. 167. 164.]
30901,2.0,[ 6.  9. 28. ...  6.  4.  9.]
30902,3.0,[191. 181. 122. ...   9.   9.   9.]
30903,2.0,[176. 134.  96. ... 129.  96.  77.]
